"Date","Open","High","Low","Close","Volume"
"Aug 21, 2025","$0.02516","$0.02675","$0.02429","$0.02496","$11,823"
"Aug 20, 2025","$0.02369","$0.02704","$0.02359","$0.02516","$23,803"
"Aug 19, 2025","$0.02406","$0.02443","$0.02306","$0.02369","$6,082"
"Aug 18, 2025","$0.02329","$0.02477","$0.02328","$0.02406","$6,927"
"Aug 17, 2025","$0.02381","$0.02434","$0.0231","$0.02329","$2,179"
"Aug 16, 2025","$0.02417","$0.0245","$0.02323","$0.02381","$4,674"
"Aug 15, 2025","$0.02464","$0.02507","$0.02394","$0.02417","$10,377"
"Aug 14, 2025","$0.02468","$0.02512","$0.02417","$0.02464","$8,004"
"Aug 13, 2025","$0.02449","$0.02494","$0.02365","$0.02468","$6,577"
"Aug 12, 2025","$0.02411","$0.02454","$0.02365","$0.02449","$5,591"
"Aug 11, 2025","$0.02396","$0.02453","$0.02334","$0.02404","$5,231"
"Aug 10, 2025","$0.02422","$0.02503","$0.02382","$0.02396","$4,456"
"Aug 09, 2025","$0.02474","$0.02552","$0.0241","$0.02422","$9,787"
"Aug 08, 2025","$0.02545","$0.02566","$0.02438","$0.02474","$8,941"
"Aug 07, 2025","$0.02457","$0.02558","$0.02436","$0.02545","$7,333"
"Aug 06, 2025","$0.02449","$0.02561","$0.02399","$0.02457","$5,980"
"Aug 05, 2025","$0.02448","$0.02513","$0.02394","$0.02449","$7,756"
"Aug 04, 2025","$0.02415","$0.02548","$0.02392","$0.02448","$4,832"
"Aug 03, 2025","$0.02422","$0.02658","$0.02375","$0.02415","$3,941"
"Aug 02, 2025","$0.02556","$0.02577","$0.0241","$0.02422","$4,728"
"Aug 01, 2025","$0.02618","$0.02643","$0.02523","$0.02556","$8,703"
"Jul 31, 2025","$0.02712","$0.02715","$0.02584","$0.02618","$6,860"
"Jul 30, 2025","$0.02679","$0.02762","$0.02595","$0.02712","$6,414"
"Jul 29, 2025","$0.02689","$0.02745","$0.02597","$0.02679","$5,579"
"Jul 28, 2025","$0.02725","$0.0281","$0.02686","$0.02689","$12,585"
"Jul 27, 2025","$0.02747","$0.02781","$0.02683","$0.02725","$6,562"
"Jul 26, 2025","$0.02765","$0.02778","$0.02665","$0.02747","$7,855"
"Jul 25, 2025","$0.02803","$0.02869","$0.02719","$0.02765","$9,742"
"Jul 24, 2025","$0.02823","$0.03026","$0.02741","$0.02803","$16,044"
"Jul 23, 2025","$0.02724","$0.02986","$0.02632","$0.02823","$44,079"
"Jul 22, 2025","$0.02484","$0.02729","$0.02464","$0.02724","$13,601"
"Jul 21, 2025","$0.02641","$0.02694","$0.0244","$0.02484","$10,556"
"Jul 20, 2025","$0.02597","$0.0266","$0.02503","$0.02641","$9,249"
"Jul 19, 2025","$0.02484","$0.02602","$0.02404","$0.02597","$10,876"
"Jul 18, 2025","$0.02555","$0.02625","$0.02452","$0.02484","$20,877"
"Jul 17, 2025","$0.02606","$0.0267","$0.02554","$0.02555","$8,359"
"Jul 16, 2025","$0.02715","$0.02715","$0.02562","$0.02606","$9,089"
"Jul 15, 2025","$0.02658","$0.02717","$0.02465","$0.02715","$13,337"
"Jul 14, 2025","$0.02681","$0.02785","$0.02614","$0.02658","$12,531"
"Jul 13, 2025","$0.0262","$0.02757","$0.0258","$0.02681","$17,046"
"Jul 12, 2025","$0.02565","$0.02742","$0.02438","$0.02612","$29,186"
"Jul 11, 2025","$0.02143","$0.02894","$0.02051","$0.02565","$87,602"
"Jul 10, 2025","$0.02152","$0.02159","$0.02039","$0.02143","$10,084"
"Jul 09, 2025","$0.02101","$0.02198","$0.02078","$0.02152","$6,849"
"Jul 08, 2025","$0.02099","$0.02166","$0.02051","$0.02101","$6,323"
"Jul 07, 2025","$0.02141","$0.02193","$0.02028","$0.02099","$7,759"
"Jul 06, 2025","$0.02168","$0.02212","$0.02109","$0.02141","$4,162"
"Jul 05, 2025","$0.02159","$0.02221","$0.02077","$0.02168","$6,353"
"Jul 04, 2025","$0.02133","$0.02182","$0.02078","$0.02159","$5,402"
"Jul 03, 2025","$0.02179","$0.02224","$0.02119","$0.02133","$3,277"
"Jul 02, 2025","$0.02287","$0.02308","$0.02176","$0.02179","$4,192"
"Jul 01, 2025","$0.02271","$0.02358","$0.02248","$0.02287","$8,039"
"Jun 30, 2025","$0.02227","$0.02557","$0.02135","$0.02275","$16,090"
"Jun 29, 2025","$0.02279","$0.02316","$0.0217","$0.02227","$6,411"
"Jun 28, 2025","$0.02293","$0.0236","$0.02063","$0.02279","$14,819"
"Jun 27, 2025","$0.02412","$0.02488","$0.02293","$0.02293","$9,213"
"Jun 26, 2025","$0.02503","$0.02526","$0.02379","$0.02412","$14,452"
"Jun 25, 2025","$0.02588","$0.02591","$0.02468","$0.02503","$4,332"
"Jun 24, 2025","$0.0255","$0.0268","$0.02492","$0.02588","$8,623"
"Jun 23, 2025","$0.02577","$0.02609","$0.02488","$0.0255","$4,718"
